종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
060310,3S,"2,490","10","0.40","2,490","2,485","80,282","198,380,780","2,500","2,500","2,430","500",원(KRW),"44,395,878","110,545,736,220",1327
054620,APS홀딩스,"4,375","-30","0.68","4,375","4,365","57,643","251,646,190","4,410","4,410","4,345","500",원(KRW),"20,394,221","89,224,716,875",
265520,AP시스템,"26,700","-100","0.37","26,800","26,700","278,095","7,463,118,750","26,800","27,300","26,300","500",원(KRW),"14,099,511","376,456,943,700",
211270,AP위성,"6,340","10","0.16","6,340","6,310","5,264","33,335,010","6,290","6,440","6,290","500",원(KRW),"15,014,804","95,193,857,360",
035760,CJ ENM,"212,700","400","0.19","212,800","212,700","62,487","13,239,503,500","212,200","213,700","210,000","5,000",원(KRW),"21,926,384","4,663,741,876,800",
051500,CJ프레시웨이,"28,550","-600","2.06","28,600","28,550","55,716","1,582,968,750","28,650","29,250","28,200","1,000",원(KRW),"11,871,586","338,933,780,300",
058820,CMG제약,"4,750","15","0.32","4,750","4,745","1,161,781","5,538,439,980","4,765","4,850","4,690","500",원(KRW),"108,887,244","517,214,409,000",
023460,CNH,"1,470","-15","1.01","1,470","1,465","156,657","232,496,220","1,475","1,515","1,460","2,500",원(KRW),"37,200,000","54,684,000,000",
065770,CS,"2,285","-5","0.22","2,285","2,250","57,782","128,494,690","2,290","2,295","2,180","500",원(KRW),"18,835,150","43,038,317,750",
083660,CSA 코스믹,"4,320","-35","0.80","4,325","4,320","209,310","909,696,205","4,375","4,425","4,315","500",원(KRW),"19,747,641","85,309,809,120",
306620,DB금융스팩6호,"2,020","0","0.00","2,020","2,015","5,113","10,328,210","2,015","2,020","2,015","100",원(KRW),"4,840,000","9,776,800,000",
068790,DMS,"5,160","50","0.98","5,190","5,160","100,024","517,824,900","5,120","5,230","5,090","500",원(KRW),"23,032,487","118,847,632,920",
241520,DSC인베스트먼트,"4,005","0","0.00","4,010","4,005","56,959","227,601,185","3,975","4,045","3,975","500",원(KRW),"17,500,000","70,087,500,000",
245620,EDGC,"6,000","-170","2.76","6,000","5,990","141,210","848,395,150","6,170","6,240","5,820","100",원(KRW),"36,172,940","217,037,640,000",
037370,EG,"14,450","100","0.70","14,450","14,400","332,406","4,768,105,800","14,400","14,600","14,050","1,000",원(KRW),"7,500,000","108,375,000,000",
079190,EMW,"2,780","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"31,784,197","88,360,067,660",
130500,GH신소재,"2,920","60","2.10","2,920","2,915","94,581","275,178,320","2,885","2,945","2,860","500",원(KRW),"11,000,000","32,120,000,000",
