종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
095570,AJ네트웍스,"4,930","60","1.23","4,935","4,930","35,953","175,848,040","4,890","4,935","4,825","1,000",원(KRW),"46,822,295","230,833,914,350",901
068400,AJ렌터카,"11,850","50","0.42","11,900","11,850","155,321","1,835,737,000","11,800","11,950","11,700","500",원(KRW),"22,146,300","262,433,655,000",
006840,AK홀딩스,"51,200","200","0.39","51,300","51,200","22,368","1,130,267,900","51,100","51,500","49,900","5,000",원(KRW),"13,247,561","678,275,123,200",
027410,BGF,"7,850","-80","1.01","7,850","7,840","150,300","1,180,203,990","7,930","7,950","7,790","1,000",원(KRW),"95,369,179","748,648,055,150",
282330,BGF리테일,"182,500","-1,500","0.82","183,000","182,500","12,917","2,371,677,000","183,500","186,500","182,500","1,000",원(KRW),"17,283,906","3,154,312,845,000",
138930,BNK금융지주,"7,350","0","0.00","7,360","7,350","922,287","6,807,034,710","7,350","7,430","7,300","5,000",원(KRW),"325,935,246","2,395,624,058,100",
001460,BYC,"242,000","-500","0.21","242,000","241,500","73","17,623,000","242,500","242,500","241,000","5,000",원(KRW),"624,615","151,156,830,000",
001465,BYC우,"110,500","-3,000","2.64","110,500","110,000","333","36,526,000","113,500","113,500","108,500","5,000",원(KRW),"215,385","23,800,042,500",
001040,CJ,"120,000","-500","0.41","120,000","119,500","45,621","5,471,659,500","120,000","120,500","119,000","5,000",원(KRW),"29,176,998","3,501,239,760,000",
079160,CJ CGV,"42,550","-100","0.23","42,600","42,550","99,788","4,259,713,150","42,450","43,150","42,300","500",원(KRW),"21,161,313","900,413,868,150",
000120,CJ대한통운,"164,500","-3,500","2.08","165,000","164,500","76,594","12,651,317,000","168,000","169,000","164,500","5,000",원(KRW),"22,812,344","3,752,630,588,000",
011150,CJ씨푸드,"2,435","40","1.67","2,435","2,430","92,482","225,058,940","2,410","2,450","2,410","500",원(KRW),"35,930,773","87,491,432,255",
011155,CJ씨푸드1우,"28,650","0","0.00","28,700","28,450","1,169","33,292,550","29,000","29,000","28,150","500",원(KRW),"200,000","5,730,000,000",
001045,CJ우,"52,700","-900","1.68","53,200","52,700","3,937","208,733,700","54,500","54,500","52,000","5,000",원(KRW),"2,260,223","119,113,752,100",
097950,CJ제일제당,"335,000","-7,500","2.19","335,500","335,000","42,812","14,496,455,000","342,000","343,000","335,000","5,000",원(KRW),"15,054,186","5,043,152,310,000",
097955,CJ제일제당 우,"128,000","-2,500","1.92","128,000","127,500","6,285","801,238,000","130,000","130,000","127,000","5,000",원(KRW),"1,327,433","169,911,424,000",
037560,CJ헬로,"10,350","100","0.98","10,350","10,300","152,571","1,571,763,450","10,300","10,350","10,200","2,500",원(KRW),"77,446,865","801,575,052,750",
000590,CS홀딩스,"65,700","1,500","2.34","65,700","65,600","1,194","77,564,000","63,900","65,800","63,400","5,000",원(KRW),"1,154,482","75,849,467,400",
012030,DB,"937","-20","2.09","938","937","806,538","759,571,268","959","967","925","500",원(KRW),"201,173,933","188,499,975,221",
016610,DB금융투자,"4,965","55","1.12","4,965","4,955","49,313","243,211,310","4,910","4,990","4,870","5,000",원(KRW),"42,446,389","210,746,321,385",
005830,DB손해보험,"70,700","1,200","1.73","70,900","70,700","182,614","12,987,446,700","69,300","72,200","69,300","500",원(KRW),"70,800,000","5,005,560,000,000",
000990,DB하이텍,"12,850","-50","0.39","12,850","12,800","559,396","7,212,356,800","13,000","13,300","12,600","5,000",원(KRW),"44,398,588","570,521,855,800",
000995,DB하이텍1우,"37,300","-250","0.67","37,350","37,300","1,987","73,703,950","37,500","37,800","36,450","5,000",원(KRW),"112,316","4,189,386,800",
139130,DGB금융지주,"8,790","110","1.27","8,790","8,780","709,024","6,223,952,370","8,660","8,810","8,660","5,000",원(KRW),"169,145,833","1,486,791,872,070",
004840,DRB동일,"6,690","50","0.75","6,690","6,680","4,868","32,375,550","6,640","6,700","6,610","500",원(KRW),"19,480,000","130,321,200,000",
155660,DSR,"4,180","10","0.24","4,180","4,170","38,182","159,167,495","4,190","4,210","4,145","500",원(KRW),"16,000,000","66,880,000,000",
069730,DSR제강,"4,720","10","0.21","4,720","4,710","65,916","308,460,095","4,750","4,750","4,455","500",원(KRW),"14,400,000","67,968,000,000",
017940,E1,"60,500","-200","0.33","60,500","60,300","6,146","373,132,500","60,700","61,100","60,100","5,000",원(KRW),"6,860,000","415,030,000,000",
007700,F&F,"43,850","1,300","3.06","43,900","43,850","143,232","6,245,091,350","42,650","44,750","41,950","500",원(KRW),"15,400,000","675,290,000,000",
114090,GKL,"25,700","-50","0.19","25,750","25,700","90,533","2,326,104,750","26,000","26,050","25,450","500",원(KRW),"61,855,670","1,589,690,719,000",
078930,GS,"53,900","-500","0.92","54,000","53,900","135,103","7,324,690,400","53,900","54,500","53,800","5,000",원(KRW),"92,915,378","5,008,138,874,200",
006360,GS건설,"46,750","-300","0.64","46,800","46,750","308,929","14,490,773,500","46,650","47,450","46,600","5,000",원(KRW),"79,435,797","3,713,623,509,750",
001250,GS글로벌,"2,800","115","4.28","2,805","2,800","792,524","2,190,195,825","2,715","2,820","2,695","2,500",원(KRW),"82,533,764","231,094,539,200",
007070,GS리테일,"35,750","-300","0.83","35,800","35,750","262,198","9,361,187,650","36,100","36,350","35,450","1,000",원(KRW),"77,000,000","2,752,750,000,000",
078935,GS우,"36,400","300","0.83","36,400","36,350","2,333","84,990,300","36,300","36,550","36,200","5,000",원(KRW),"1,784,826","64,967,666,400",
012630,HDC,"19,050","400","2.14","19,050","19,000","604,937","11,531,733,350","18,750","19,350","18,350","5,000",원(KRW),"59,741,721","1,138,079,785,050",
039570,HDC아이콘트롤스,"10,400","300","2.97","10,400","10,350","43,742","447,817,750","10,100","10,500","10,000","500",원(KRW),"16,460,000","171,184,000,000",
089470,HDC현대EP,"4,870","40","0.83","4,870","4,850","38,276","184,645,670","4,830","4,890","4,780","500",원(KRW),"31,900,000","155,353,000,000",
294870,HDC현대산업개발,"49,550","300","0.61","49,600","49,550","199,318","9,949,311,250","49,300","51,000","48,600","5,000",원(KRW),"43,938,220","2,177,138,801,000",
082740,HSD엔진,"5,250","-310","5.58","5,250","5,240","2,213,981","11,609,097,640","5,590","5,600","5,070","1,000",원(KRW),"32,947,142","172,972,495,500",
003560,IHQ,"1,875","-15","0.79","1,875","1,870","504,102","942,795,945","1,880","1,895","1,860","500",원(KRW),"146,235,748","274,192,027,500",
175330,JB금융지주,"6,240","30","0.48","6,270","6,240","779,665","4,876,761,210","6,190","6,300","6,130","5,000",원(KRW),"196,982,894","1,229,173,258,560",
234080,JW생명과학,"22,300","-200","0.89","22,450","22,300","35,956","801,846,050","22,500","22,600","22,050","2,500",원(KRW),"15,834,554","353,110,554,200",
001060,JW중외제약,"40,200","-200","0.50","40,250","40,200","31,345","1,264,519,550","40,400","40,600","40,150","2,500",원(KRW),"20,196,684","811,906,696,800",
001067,JW중외제약2우B,"46,150","300","0.65","46,500","46,100","609","28,213,400","47,750","47,750","46,050","2,500",원(KRW),"87,790","4,051,508,500",
001065,JW중외제약우,"26,500","450","1.73","26,400","26,200","1,315","34,426,800","25,900","26,600","25,700","2,500",원(KRW),"167,375","4,435,437,500",
096760,JW홀딩스,"7,160","-10","0.14","7,180","7,160","68,235","489,666,550","7,230","7,230","7,120","500",원(KRW),"64,520,904","461,969,672,640",
105560,KB금융,"48,600","550","1.14","48,600","48,550","1,588,876","77,293,850,950","48,300","49,200","47,850","5,000",원(KRW),"418,111,537","20,320,220,698,200",
002380,KCC,"337,500","10,500","3.21","337,500","337,000","37,015","12,344,767,000","324,500","338,500","324,500","5,000",원(KRW),"10,556,513","3,562,823,137,500",
009070,KCTC,"3,860","300","8.43","3,860","3,855","1,856,203","7,254,621,620","3,545","4,150","3,545","500",원(KRW),"30,000,000","115,800,000,000",
009440,KC그린홀딩스,"4,150","-30","0.72","4,150","4,140","29,405","122,037,830","4,190","4,190","4,120","500",원(KRW),"22,434,980","93,105,167,000",
119650,KC코트렐,"5,300","-90","1.67","5,300","5,290","75,381","402,935,440","5,380","5,460","5,260","500",원(KRW),"13,000,000","68,900,000,000",
092220,KEC,"1,170","30","2.63","1,175","1,170","2,971,515","3,459,568,520","1,145","1,180","1,120","500",원(KRW),"112,451,621","131,568,396,570",
001390,KG케미칼,"16,600","-150","0.90","16,650","16,600","91,685","1,522,638,450","16,750","16,750","16,500","5,000",원(KRW),"12,455,526","206,761,731,600",
001940,KISCO홀딩스,"13,800","-50","0.36","13,850","13,800","4,775","66,046,000","13,850","14,050","13,550","1,000",원(KRW),"18,476,380","254,974,044,000",
025000,KPX케미칼,"55,000","2,000","3.77","55,000","54,800","11,392","622,792,500","53,700","55,600","53,000","5,000",원(KRW),"4,840,000","266,200,000,000",
092230,KPX홀딩스,"59,900","300","0.50","60,100","59,900","276","16,534,700","59,800","60,100","59,700","5,000",원(KRW),"4,224,646","253,056,295,400",
000040,KR모터스,"532","4","0.76","532","531","124,566","65,933,740","532","533","522","500",원(KRW),"189,444,075","100,784,247,900",
044450,KSS해운,"6,520","-90","1.36","6,540","6,520","56,529","366,090,260","6,520","6,580","6,420","500",원(KRW),"23,185,880","151,171,937,600",
030200,KT,"28,600","0","0.00","28,650","28,600","376,462","10,781,437,750","28,550","28,750","28,550","5,000",원(KRW),"261,111,808","7,467,797,708,800",
033780,KT&G,"98,900","-200","0.20","99,000","98,900","333,834","33,079,255,400","100,000","100,000","98,500","5,000",원(KRW),"137,292,497","13,578,227,953,300",
030210,KTB투자증권,"3,295","10","0.30","3,300","3,295","240,899","790,825,305","3,300","3,310","3,255","5,000",원(KRW),"60,314,092","198,734,933,140",
058850,KTcs,"2,565","-55","2.10","2,570","2,565","512,905","1,322,226,050","2,615","2,640","2,540","500",원(KRW),"42,685,000","109,487,025,000",
093050,LF,"24,650","0","0.00","24,700","24,650","44,221","1,090,013,900","24,500","24,850","24,400","5,000",원(KRW),"29,240,000","720,766,000,000",
003550,LG,"77,500","-200","0.26","77,500","77,400","232,526","18,151,906,100","78,500","78,800","77,000","5,000",원(KRW),"172,557,131","13,373,177,652,500",
034220,LG디스플레이,"19,050","150","0.79","19,050","19,000","1,826,048","34,915,812,700","18,950","19,300","18,900","5,000",원(KRW),"357,815,700","6,816,389,085,000",
001120,LG상사,"17,000","-250","1.45","17,050","17,000","213,603","3,637,209,400","17,150","17,250","16,850","5,000",원(KRW),"38,760,000","658,920,000,000",
051900,LG생활건강,"1,254,000","-11,000","0.87","1,255,000","1,254,000","30,993","39,317,004,000","1,275,000","1,298,000","1,254,000","5,000",원(KRW),"15,618,197","19,585,219,038,000",
051905,LG생활건강우,"750,000","-10,000","1.32","751,000","750,000","2,209","1,668,460,720","760,000","774,000","743,000","5,000",원(KRW),"2,099,697","1,574,772,750,000",
003555,LG우,"43,350","400","0.93","43,350","43,050","3,593","155,082,650","42,800","43,400","42,800","5,000",원(KRW),"3,314,677","143,691,247,950",
032640,LG유플러스,"14,800","-300","1.99","14,850","14,800","3,537,588","52,488,503,200","15,150","15,200","14,700","5,000",원(KRW),"436,611,361","6,461,848,142,800",
011070,LG이노텍,"99,500","2,000","2.05","99,600","99,500","238,390","23,795,206,800","98,700","100,500","98,700","5,000",원(KRW),"23,667,107","2,354,877,146,500",
066570,LG전자,"65,400","-1,200","1.80","65,500","65,400","1,039,069","68,036,089,100","66,300","66,300","65,200","5,000",원(KRW),"163,647,814","10,702,567,035,600",
