번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
1,095570,AJ네트웍스,147603,산업용 기계 및 장비 임대업,"46,822,295","46,822,295,000","1,000",원(KRW)
2,068400,AJ렌터카,147601,운송장비 임대업,"22,146,300","11,073,150,000","500",원(KRW)
3,006840,AK홀딩스,116409,기타 금융업,"13,247,561","66,237,805,000","5,000",원(KRW)
4,027410,BGF,116409,기타 금융업,"95,369,179","95,369,179,000","1,000",,1577-3663,서울특별시 강남구 테헤란로 405 ,788
5,282330,BGF리테일,074701,종합 소매업,"17,283,906","17,283,906,000","1,000",원(KRW)
6,138930,BNK금융지주,116409,기타 금융업,"325,935,246","1,629,676,230,000","5,000",원(KRW)
7,001460,BYC,031401,봉제의복 제조업,"624,615","4,200,000,000","5,000",원(KRW)
8,001040,CJ,116409,기타 금융업,"29,176,998","157,914,810,000","5,000",원(KRW)
9,079160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","21,161,313","10,580,656,500","500",원(KRW)
10,000120,CJ대한통운,084903,도로 화물 운송업,"22,812,344","114,061,720,000","5,000",원(KRW)
11,011150,CJ씨푸드,031007,기타 식품 제조업,"35,930,773","18,065,386,500","500",원(KRW)
12,097950,CJ제일제당,031007,기타 식품 제조업,"15,054,186","81,908,095,000","5,000",원(KRW)
13,037560,CJ헬로,106002,텔레비전 방송업,"77,446,865","193,617,162,500","2,500",원(KRW)
14,000590,CS홀딩스,116409,기타 금융업,"1,154,482","5,772,410,000","5,000",원(KRW)
15,012030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","201,173,933","100,586,966,500","500",원(KRW)
16,016610,DB금융투자,116601,금융 지원 서비스업,"42,446,389","212,231,945,000","5,000",원(KRW)
17,005830,DB손해보험,116501,보험업,"70,800,000","35,400,000,000","500",원(KRW)
18,000990,DB하이텍,032601,반도체 제조업,"44,398,588","222,554,520,000","5,000",원(KRW)
19,139130,DGB금융지주,116409,기타 금융업,"169,145,833","845,729,165,000","5,000",원(KRW)
20,004840,DRB동일,116409,기타 금융업,"19,480,000","9,740,000,000","500",원(KRW)
21,155660,DSR,032402,1차 비철금속 제조업,"16,000,000","8,000,000,000","500",원(KRW)
22,069730,DSR제강,032401,1차 철강 제조업,"14,400,000","7,200,000,000","500",원(KRW)
23,017940,E1,074607,기타 전문 도매업,"6,860,000","34,300,000,000","5,000",원(KRW)
24,007700,F&F,031401,봉제의복 제조업,"15,400,000","7,700,000,000","500",원(KRW)
25,114090,GKL,189102,유원지 및 기타 오락관련 서비스업,"61,855,670","30,927,835,000","500",원(KRW)
26,078930,GS,116409,기타 금융업,"92,915,378","473,501,020,000","5,000",원(KRW)
27,006360,GS건설,064101,건물 건설업,"79,435,797","397,178,985,000","5,000",원(KRW)
28,001250,GS글로벌,074608,상품 종합 도매업,"82,533,764","206,334,410,000","2,500",원(KRW)
29,007070,GS리테일,074701,종합 소매업,"77,000,000","77,000,000,000","1,000",원(KRW)
30,012630,HDC,116409,기타 금융업,"59,741,721","298,708,605,000","5,000",원(KRW)
31,039570,HDC아이콘트롤스,064203,전기 및 통신 공사업,"16,460,000","8,230,000,000","500",원(KRW)
32,089470,HDC현대EP,032004,기타 화학제품 제조업,"31,900,000","17,200,000,000","500",원(KRW)
33,294870,HDC현대산업개발,064101,건물 건설업,"43,938,220","219,691,100,000","5,000",원(KRW)
34,082740,HSD엔진,032901,일반 목적용 기계 제조업,"32,947,142","32,947,142,000","1,000",원(KRW)
35,175330,JB금융지주,116409,기타 금융업,"196,982,894","984,914,470,000","5,000",원(KRW)
36,234080,JW생명과학,032102,의약품 제조업,"15,834,554","39,586,385,000","2,500",원(KRW)
37,001060,JW중외제약,032102,의약품 제조업,"20,196,684","51,129,622,500","2,500",원(KRW)
38,096760,JW홀딩스,116409,기타 금융업,"64,520,904","32,260,452,000","500",원(KRW)
39,105560,KB금융,116409,기타 금융업,"418,111,537","2,090,557,685,000","5,000",원(KRW)
40,009440,KC그린홀딩스,116409,기타 금융업,"22,434,980","11,217,490,000","500",원(KRW)
41,119650,KC코트렐,032901,일반 목적용 기계 제조업,"13,000,000","6,500,000,000","500",원(KRW)
42,092220,KEC,032601,반도체 제조업,"112,451,621","56,225,810,500","500",원(KRW)
43,001390,KG케미칼,032001,기초 화학물질 제조업,"12,455,526","64,585,875,000","5,000",원(KRW)
44,001940,KISCO홀딩스,116409,기타 금융업,"18,476,380","18,476,380,000","1,000",원(KRW)
45,025000,KPX케미칼,032001,기초 화학물질 제조업,"4,840,000","24,200,000,000","5,000",원(KRW)
46,092230,KPX홀딩스,116409,기타 금융업,"4,224,646","21,123,230,000","5,000",원(KRW)
47,000040,KR모터스,033109,그외 기타 운송장비 제조업,"189,444,075","94,722,037,500","500",원(KRW)
48,044450,KSS해운,085001,해상 운송업,"23,185,880","11,592,940,000","500",원(KRW)
49,030210,KTB투자증권,116601,금융 지원 서비스업,"60,314,092","301,570,460,000","5,000",원(KRW)
50,058850,KTcs,106309,기타 정보 서비스업,"42,685,000","23,842,500,000","500",원(KRW)
51,093050,LF,031401,봉제의복 제조업,"29,240,000","146,200,000,000","5,000",원(KRW)
52,003550,LG,116409,기타 금융업,"172,557,131","879,359,040,000","5,000",원(KRW)
53,034220,LG디스플레이,032602,전자부품 제조업,"357,815,700","1,789,078,500,000","5,000",원(KRW)
54,001120,LG상사,074601,상품 중개업,"38,760,000","193,800,000,000","5,000",원(KRW)
55,051900,LG생활건강,032004,기타 화학제품 제조업,"15,618,197","88,589,470,000","5,000",원(KRW)
56,032640,LG유플러스,106102,전기 통신업,"436,611,361","2,573,969,175,000","5,000",원(KRW)
57,011070,LG이노텍,032602,전자부품 제조업,"23,667,107","118,335,535,000","5,000",원(KRW)
58,066570,LG전자,032604,통신 및 방송 장비 제조업,"163,647,814","904,169,030,000","5,000",원(KRW)
59,108670,LG하우시스,032202,플라스틱제품 제조업,"8,967,670","50,000,000,000","5,000",원(KRW)
60,051910,LG화학,032001,기초 화학물질 제조업,"70,592,343","391,405,715,000","5,000",원(KRW)
61,079550,LIG넥스원,032502,무기 및 총포탄 제조업,"22,000,000","110,000,000,000","5,000",원(KRW)
62,006260,LS,116409,기타 금융업,"32,200,000","161,000,000,000","5,000",원(KRW)
63,000680,LS네트웍스,074608,상품 종합 도매업,"78,803,016","394,015,080,000","5,000",원(KRW)
